name	file	offset	length	dtype	shape
model.layers.8.self_attn.q_proj.weight	model-00002-of-00002.safetensors	2397886488	23592960	BF16	4096x2880
model.layers.8.self_attn.sinks	model-00002-of-00002.safetensors	2421479448	128	BF16	64
model.layers.8.self_attn.v_proj.bias	model-00002-of-00002.safetensors	2421479576	1024	BF16	512
model.layers.8.self_attn.v_proj.weight	model-00002-of-00002.safetensors	2421480600	2949120	BF16	512x2880
model.layers.9.input_layernorm.weight	model-00002-of-00002.safetensors	2424429720	5760	BF16	2880
model.layers.9.mlp.experts.down_proj_bias	model-00002-of-00002.safetensors	2424435480	184320	BF16	32x2880
model.layers.9.mlp.experts.down_proj_blocks	model-00002-of-00002.safetensors	3747327832	132710400	U8	32x2880x90x16
model.layers.9.mlp.experts.down_proj_scales	model-00002-of-00002.safetensors	3880038232	8294400	U8	32x2880x90
model.layers.9.mlp.experts.gate_up_proj_bias	model-00002-of-00002.safetensors	2424619800	368640	BF16	32x5760
model.layers.9.mlp.experts.gate_up_proj_blocks	model-00002-of-00002.safetensors	3888332632	265420800	U8	32x5760x90x16
model.layers.9.mlp.experts.gate_up_proj_scales	model-00002-of-00002.safetensors	4153753432	16588800	U8	32x5760x90
model.layers.9.mlp.router.bias	model-00002-of-00002.safetensors	2424988440	64	BF16	32
model.layers.9.mlp.router.weight	model-00002-of-00002.safetensors	2424988504	184320	BF16	32x2880
model.layers.9.post_attention_layernorm.weight	model-00002-of-00002.safetensors	2425172824	5760	BF16	2880
model.layers.9.self_attn.k_proj.bias	model-00002-of-00002.safetensors	2425178584	1024	BF16	512
model.layers.9.self_attn.k_proj.weight	model-00002-of-00002.safetensors	2425179608	2949120	BF16	512x2880
model.layers.9.self_attn.o_proj.bias	model-00002-of-00002.safetensors	2428128728	5760	BF16	2880
model.layers.9.self_attn.o_proj.weight	model-00002-of-00002.safetensors	2428134488	23592960	BF16	2880x4096
model.layers.9.self_attn.q_proj.bias	model-00002-of-00002.safetensors	2451727448	8192	BF16	4096
model.layers.9.self_attn.q_proj.weight	model-00002-of-00002.safetensors	2451735640	23592960	BF16	4096x2880
model.layers.9.self_attn.sinks	model-00002-of-00002.safetensors	2475328600	128	BF16	64
model.layers.9.self_attn.v_proj.bias	model-00002-of-00002.safetensors	2475328728	1024	BF16	512
model.layers.9.self_attn.v_proj.weight	model-00002-of-00002.safetensors	2475329752	2949120	BF16	512x2880
model.norm.weight	model-00002-of-00002.safetensors	2478278872	5760	BF16	2880
